country_1,country_2,exports($),exports rank,top product exported,imports($),imports rank,top product imported,top product export($),top product import($),1_gdp,2_gdp,1_gdpgrowth,2_gdpgrowth
China,Canada,0.49019277869876954,Rnk 17 / 209,15,-0.1288017409840654,Rnk 2 / 217,1,0.19590170859521375,-0.2122526043178757,14,1,1,0
China,South Korea,1.7302314687918658,Rnk 5 / 209,14,2.1606581215514526,Rnk 1 / 218,14,1.4999908140248568,4.092646789765069,14,1,1,0
China,Russia,0.5147885874278888,Rnk 16 / 209,7,0.4860934772439162,Rnk 1 / 187,1,0.08692490312755555,2.4270968971094247,14,1,1,0
China,Brazil,0.22168853340588415,Rnk 21 / 209,47,0.8673285125452652,Rnk 1 / 223,44,-0.30539159655601394,2.0745352409998357,14,1,1,0
China,Australia,0.6480158847106182,Rnk 12 / 209,6,1.5662594105977372,Rnk 1 / 211,15,0.053021008093173005,7.3021735902109794,14,1,1,0
China,Spain,0.09665983903286121,Rnk 26 / 209,30,-0.32864268690815945,Rnk 8 / 218,23,-0.24000551327541905,-0.11377848657692158,14,1,1,0
China,Indonesia,0.3118731654126548,Rnk 19 / 209,47,0.14380180576367313,Rnk 1 / 213,10,-0.23758380648724886,0.08681693845094787,14,1,1,0
China,India,0.7914914356304806,Rnk 9 / 209,6,-0.14519894680347825,Rnk 2 / 218,15,0.0009543121475140848,-0.049344804598272604,14,2,1,0
Germany,Japan,-0.12060313807435902,Rnk 19 / 220,2,-0.15339754971318467,Rnk 7 / 213,2,-0.032949582886868466,-0.24386158038287328,3,5,0,0
Germany,United states,1.8532105124374623,Rnk 1 / 220,2,0.6890088992591502,Rnk 5 / 218,2,1.3546884067346459,0.3190213395438149,3,21,0,0
Germany,China,1.6482454396948016,Rnk 2 / 220,1,1.7712244833403978,Rnk 4 / 209,2,1.5484249497882605,1.06547946661722,3,14,0,1
Germany,France,1.5457629033234714,Rnk 3 / 220,2,0.8119879429047465,Rnk 1 / 217,2,0.5264646851804436,0.10748434587806169,3,2,0,0
Germany,Italy,0.8550306081807053,Rnk 7 / 220,19,0.7484487703545217,Rnk 1 / 213,2,0.3642103303730414,-0.10526837763634529,3,1,0,0
Germany,Canada,-0.3009724020879003,Rnk 25 / 220,2,-0.42805074718834984,Rnk 6 / 217,34,-0.2884396490388227,-0.4032437635413805,3,1,0,0
Germany,South Korea,-0.11445418589207919,Rnk 18 / 220,49,-0.3071213542701801,Rnk 11 / 218,2,0.2867157131515956,-0.2657447176586408,3,1,0,0
Germany,Russia,0.010574508480943762,Rnk 14 / 220,25,-0.2333339280828223,Rnk 5 / 187,7,-0.29328306261516307,0.3092955007545849,3,1,0,0
Germany,Brazil,-0.32536324574427694,Rnk 27 / 220,19,-0.4344046644433723,Rnk 6 / 223,5,-0.39765862518529793,-0.34938693124601916,3,1,0,0
Germany,Australia,-0.3261831060352476,Rnk 29 / 220,49,-0.48359628190161086,Rnk 15 / 211,2,-0.2944939160092481,-0.4121185914365529,3,1,0,0
Germany,Spain,0.3200717683223612,Rnk 12 / 220,2,0.1724969159476456,Rnk 2 / 218,2,-0.03658214306912374,0.39196513046304016,3,1,0,0
Germany,Indonesia,-0.47232320290076457,Rnk 50 / 220,18,-0.4571557875178076,Rnk 12 / 213,17,-0.46325055354288724,-0.4397156590009931,3,1,0,0
Germany,India,-0.27637659335878106,Rnk 23 / 220,31,-0.344015067363859,Rnk 5 / 218,11,-0.1770411367829943,-0.41868353261928315,3,2,0,0
France,Japan,-0.3878775929307884,Rnk 13 / 217,31,-0.41124361122345165,Rnk 22 / 213,2,-0.3932995529665916,-0.38294107506886277,2,5,0,0
France,United states,0.22783748558816397,Rnk 2 / 217,25,-0.040666759704721375,Rnk 14 / 218,11,0.015484552876535178,-0.20495822522595314,2,21,0,0
France,China,-0.12265278880178562,Rnk 7 / 217,23,0.2811284045012557,Rnk 20 / 209,31,-0.25211404721626995,0.10262142648344667,2,14,0,1
France,Germany,0.8119879429047466,Rnk 1 / 217,2,1.5457629033234712,Rnk 3 / 220,2,0.09782258367432137,0.5378527123014908,2,3,0,0
France,Italy,0.21348993049617773,Rnk 3 / 217,25,0.4901927786987694,Rnk 2 / 213,25,-0.08138371865027211,-0.1745649790096093,2,1,0,0
France,Canada,-0.44034865155290953,Rnk 26 / 217,15,-0.46678914593671267,Rnk 9 / 217,31,-0.41691119415125083,-0.4068909530873417,2,1,0,0
France,South Korea,-0.4081691351323118,Rnk 17 / 217,2,-0.45633592722683697,Rnk 27 / 218,31,-0.39426823568185965,-0.34695547154871165,2,1,0,0
France,Russia,-0.402020182950032,Rnk 14 / 217,31,-0.42333655051526864,Rnk 18 / 187,40,-0.3956001744153532,-0.11134702687961406,2,1,0,0
France,Brazil,-0.45018697504455724,Rnk 29 / 217,31,-0.48236649146515487,Rnk 26 / 223,43,-0.42708236266156563,-0.4000828659348807,2,1,0,0
France,Australia,-0.45900047317249165,Rnk 31 / 217,25,-0.5038878241031343,Rnk 22 / 211,3,-0.4370113604930634,-0.43096240409068604,2,1,0,0
France,Spain,0.17044726522021902,Rnk 5 / 217,19,0.45124941487766396,Rnk 1 / 218,2,-0.25090319382218484,0.4320842154686141,2,1,0,0
France,Indonesia,-0.4971239767026265,Rnk 46 / 217,26,-0.5024530685939356,Rnk 31 / 213,11,-0.4522681132585355,-0.4528455413664536,2,1,0,0
France,India,-0.4262060615336659,Rnk 19 / 217,31,-0.43092025820674706,Rnk 17 / 218,40,-0.3380846381963114,-0.41588735396737947,2,2,0,0
Italy,Japan,-0.35323849563727877,Rnk 13 / 213,36,-0.4421933372075934,Rnk 26 / 213,2,-0.3005481829796736,-0.37698399881045935,1,5,0,0
Italy,United states,0.45739836705994386,Rnk 3 / 213,25,-0.15134789898575807,Rnk 18 / 218,7,0.013062846088364942,-0.20131103567999187,1,21,0,0
Italy,China,-0.2189863729908361,Rnk 8 / 213,25,0.2114402797687511,Rnk 22 / 209,23,-0.35443115901646016,-0.09067961945250025,1,14,0,1
Italy,Germany,0.7484487703545218,Rnk 1 / 213,2,0.8550306081807052,Rnk 7 / 220,19,-0.11407676029056957,0.3749449125818876,1,3,0,0
Italy,France,0.49019277869876954,Rnk 2 / 213,25,0.2134899304961777,Rnk 3 / 217,25,-0.18309540375341976,-0.07244367172269393,1,2,0,0
Italy,Canada,-0.4175975284784742,Rnk 18 / 213,53,-0.4721182378280218,Rnk 11 / 217,25,-0.4253871679098465,-0.3985024171316308,1,1,0,0
Italy,South Korea,-0.413498227023621,Rnk 17 / 213,2,-0.45387634635392504,Rnk 26 / 218,48,-0.385792261923264,-0.40956555875438,1,1,0,0
Italy,Russia,-0.36635626029280904,Rnk 15 / 213,49,-0.2804758948136342,Rnk 9 / 187,28,-0.4404017499965016,0.02967763556422142,1,1,0,0
Italy,Brazil,-0.43911886111645354,Rnk 25 / 213,19,-0.4628948095546021,Rnk 15 / 223,46,-0.43652701913542935,-0.4078635369662647,1,1,0,0
Italy,Australia,-0.4366592802435416,Rnk 24 / 213,25,-0.5157962948294827,Rnk 31 / 211,3,-0.4509361745250419,-0.45748962938831095,1,1,0,0
Italy,Spain,-0.07346117134354707,Rnk 6 / 213,19,-0.05706396552413422,Rnk 4 / 218,2,-0.3526148789253325,-0.08338524036057772,1,1,0,0
Italy,Indonesia,-0.4991736274300531,Rnk 54 / 213,26,-0.48113670102869893,Rnk 18 / 213,51,-0.4608651723565397,-0.3825763561142666,1,1,0,0
Italy,India,-0.4524415908447265,Rnk 30 / 213,50,-0.42641102660640856,Rnk 14 / 218,13,-0.4608651723565397,-0.4371626263188202,1,2,0,0
Canada,Japan,-0.3308973027083288,Rnk 4 / 217,30,-0.3575427621648746,Rnk 18 / 213,2,-0.35140402553124744,-0.13323016415538164,1,5,0,0
Canada,United states,4.886693589028839,Rnk 1 / 217,7,3.9438542544125994,Rnk 1 / 218,2,5.0235741908124725,0.8223334968864692,1,21,0,0
Canada,China,-0.12880174098406544,Rnk 2 / 217,1,0.4901927786987694,Rnk 17 / 209,15,-0.22063185897005763,0.2059584636190158,1,14,0,1
Canada,Germany,-0.4280507471883499,Rnk 6 / 217,34,-0.30097240208790027,Rnk 25 / 220,2,-0.4108569271808254,-0.2803334758424859,1,3,0,0
Canada,France,-0.4667891459367127,Rnk 9 / 217,31,-0.4403486515529095,Rnk 26 / 217,15,-0.41448948736308067,-0.4093224127846492,1,2,0,0
Canada,Italy,-0.4721182378280219,Rnk 11 / 217,25,-0.41759752847847414,Rnk 18 / 213,53,-0.40613459894389353,-0.4178325217252255,1,1,0,0
Canada,South Korea,-0.4452678132987334,Rnk 8 / 217,2,-0.3913619991674136,Rnk 16 / 218,3,-0.3723517892489195,-0.13201443430672788,1,1,0,0
Canada,Russia,-0.5138286301311533,Rnk 37 / 217,32,-0.5117379863891781,Rnk 63 / 187,31,-0.4691595181060225,-0.45308868733618435,1,1,0,0
Canada,Brazil,-0.4893353039384054,Rnk 14 / 217,12,-0.4344046644433723,Rnk 5 / 223,33,-0.38506574988681297,-0.23656720129095074,1,1,0,0
Canada,Australia,-0.4915899197385747,Rnk 15 / 217,52,-0.48892537379292,Rnk 19 / 211,37,-0.4600175749806801,-0.41929139754361,1,1,0,0
Canada,Spain,-0.5030679638121637,Rnk 23 / 217,15,-0.47990691059224294,Rnk 25 / 218,25,-0.45674827081665037,-0.43388015572745503,1,1,0,0
Canada,Indonesia,-0.49589418626617054,Rnk 18 / 217,52,-0.5012232781574797,Rnk 29 / 213,41,-0.4108569271808254,-0.45053565465401146,1,1,0,0
Canada,India,-0.469043761736882,Rnk 10 / 217,9,-0.45756571766329296,Rnk 29 / 218,25,-0.41025150048378284,-0.4256131927566095,1,2,0,0
South Korea,Japan,-0.009921998793322296,Rnk 5 / 218,40,0.3549158306886135,Rnk 3 / 213,29,-0.14071553496044156,-0.13323016415538164,1,5,0,0
South Korea,United states,1.012853714192554,Rnk 2 / 218,7,0.570129157068407,Rnk 6 / 218,2,1.4757737461431553,0.12693602345652175,1,21,0,0
South Korea,China,2.160658121551453,Rnk 1 / 218,14,1.7302314687918656,Rnk 5 / 209,14,4.06700000948525,1.5152995106191092,1,14,0,1
South Korea,Germany,-0.30712135427018017,Rnk 11 / 218,2,-0.11445418589207917,Rnk 18 / 220,49,-0.2739094083098016,0.2971382022680473,1,3,0,0
South Korea,France,-0.456335927226837,Rnk 27 / 218,31,-0.40816913513231173,Rnk 17 / 217,2,-0.3547944150346857,-0.38658826461482404,1,2,0,0
South Korea,Italy,-0.4538763463539251,Rnk 26 / 218,48,-0.41349822702362093,Rnk 17 / 213,2,-0.4171533648300679,-0.37807815567424774,1,1,0,0
South Korea,Canada,-0.39136199916741365,Rnk 16 / 218,3,-0.44526781329873333,Rnk 8 / 217,2,-0.14071553496044156,-0.36458355435419104,1,1,0,0
South Korea,Russia,-0.36184702869247054,Rnk 12 / 218,2,-0.2681779904490746,Rnk 8 / 187,7,-0.29328306261516307,0.14517197118632807,1,1,0,0
South Korea,Brazil,-0.4303053629885191,Rnk 23 / 218,14,-0.44608767358970397,Rnk 11 / 223,7,-0.36750837567257916,-0.39339635176728505,1,1,0,0
South Korea,Australia,-0.39361661496758293,Rnk 17 / 218,2,-0.17184440626002412,Rnk 3 / 211,15,-0.26664428794529105,0.06250234147787279,1,1,0,0
South Korea,Spain,-0.4737579584099632,Rnk 32 / 218,2,-0.48626082784726543,Rnk 29 / 218,30,-0.3918465288936895,-0.4420255457134352,1,1,0,0
South Korea,Indonesia,-0.39074710394918566,Rnk 15 / 218,40,-0.37660451392994204,Rnk 7 / 213,3,-0.4334998856502166,-0.3253154802426748,1,1,0,0
South Korea,India,-0.27637659335878106,Rnk 7 / 218,14,-0.4294855026975484,Rnk 15 / 218,38,-0.35019317213716233,-0.3565597373530763,1,2,0,0
Russia,Japan,-0.3333568835812407,Rnk 11 / 187,28,-0.4089889954232824,Rnk 21 / 213,2,-0.20610161824103648,-0.25845033856671834,1,5,0,0
Russia,United states,-0.2804758948136343,Rnk 10 / 187,40,-0.4079641700595691,Rnk 35 / 218,2,0.08571404973347047,-0.387560848493747,1,21,0,0
Russia,China,0.4860934772439163,Rnk 1 / 187,1,0.5147885874278887,Rnk 16 / 209,7,2.4081308595886752,0.0965427772401779,1,14,0,1
Russia,Germany,-0.23333392808282233,Rnk 5 / 187,7,0.01057450848094376,Rnk 14 / 220,25,0.2988242470924465,-0.28519639523710094,1,3,0,0
Russia,France,-0.4233365505152687,Rnk 18 / 187,40,-0.40202018295003195,Rnk 14 / 217,31,-0.12013102726099502,-0.38792556744834317,1,2,0,0
Russia,Italy,-0.2804758948136343,Rnk 9 / 187,28,-0.366356260292809,Rnk 15 / 213,49,0.020327966452875542,-0.43290757184853207,1,1,0,0
Russia,Canada,-0.5117379863891782,Rnk 63 / 187,31,-0.5138286301311532,Rnk 37 / 217,32,-0.4605019163383141,-0.4617811557540587,1,1,0,0
Russia,South Korea,-0.26817799044907464,Rnk 8 / 187,7,-0.3618470286924705,Rnk 12 / 218,2,0.1353590388909592,-0.28519639523710094,1,1,0,0
Russia,Brazil,-0.47908705030127235,Rnk 30 / 187,44,-0.49220481495680257,Rnk 32 / 223,21,-0.41000932980496585,-0.41929139754361,1,1,0,0
Russia,Australia,-0.5211663797353406,Rnk 89 / 187,0,-0.5123938746219546,Rnk 26 / 211,21,-0.4703582629661668,-0.4152794890430526,1,1,0,0
Russia,Spain,-0.4760125742101325,Rnk 28 / 187,40,-0.47703739957384567,Rnk 20 / 218,22,-0.34777146534899217,-0.4513866655480691,1,1,0,0
Russia,Indonesia,-0.5106311749963678,Rnk 59 / 187,26,-0.49896866235731036,Rnk 24 / 213,42,-0.4563850147984248,-0.4073772450268032,1,1,0,0
Russia,India,-0.40284004324100264,Rnk 15 / 187,3,-0.4655593555002567,Rnk 30 / 218,25,-0.3619384500597877,-0.4123617374062836,1,2,0,0
Brazil,Japan,-0.43768410560725496,Rnk 7 / 223,15,-0.4469075338806746,Rnk 27 / 213,19,-0.3656920955814515,-0.3906001731153814,1,5,0,0
Brazil,United states,-0.07551082207097368,Rnk 2 / 223,42,0.07616333175859513,Rnk 9 / 218,40,-0.2872287956447376,0.2558033874138197,1,21,0,0
Brazil,China,0.8673285125452653,Rnk 1 / 223,44,0.22168853340588413,Rnk 21 / 209,47,2.0569833753039988,-0.29735369372363846,1,14,0,1
Brazil,Germany,-0.4344046644433724,Rnk 6 / 223,5,-0.3253632457442769,Rnk 27 / 220,19,-0.35721612182285584,-0.3899923081910545,1,3,0,0
Brazil,France,-0.4823664914651549,Rnk 26 / 223,43,-0.4501869750445572,Rnk 29 / 217,31,-0.40770870835620415,-0.41953454351334074,1,2,0,0
Brazil,Italy,-0.46289480955460216,Rnk 15 / 223,46,-0.4391188611164535,Rnk 25 / 213,19,-0.41545817007834873,-0.42901723633284006,1,1,0,0
Brazil,Canada,-0.4344046644433724,Rnk 5 / 223,33,-0.48933530393840535,Rnk 14 / 217,12,-0.2448489268517594,-0.37734871776505546,1,1,0,0
Brazil,South Korea,-0.446087673589704,Rnk 11 / 223,7,-0.43030536298851907,Rnk 23 / 218,14,-0.40104901468873616,-0.35972063495957607,1,1,0,0
Brazil,Russia,-0.4922048149568026,Rnk 32 / 223,21,-0.4790870503012723,Rnk 30 / 187,44,-0.4268401919827486,-0.4023927526473228,1,1,0,0
Brazil,Australia,-0.5141565742475416,Rnk 51 / 223,3,-0.5130907558692797,Rnk 28 / 211,16,-0.4328944589531741,-0.4253700467868788,1,1,0,0
Brazil,Spain,-0.4405536166256522,Rnk 8 / 223,7,-0.47047851724608053,Rnk 18 / 218,40,-0.3489823187430772,-0.42549161977174416,1,1,0,0
Brazil,Indonesia,-0.47457781870093385,Rnk 19 / 223,43,-0.5008133480119943,Rnk 28 / 213,4,-0.37743737350407686,-0.4474963300323771,1,1,0,0
Brazil,India,-0.4626898444818595,Rnk 14 / 223,27,-0.4397337563346815,Rnk 21 / 218,7,-0.32597610425546053,-0.39084331908511216,1,2,0,0
Australia,Japan,0.1274045999442603,Rnk 2 / 211,28,-0.27432694263135443,Rnk 10 / 213,2,0.8582385151597586,0.21933149195420706,1,5,0,0
Australia,United states,-0.28662484699591406,Rnk 4 / 211,31,-0.028368855340161744,Rnk 13 / 218,12,-0.14071553496044156,-0.28154920569113967,1,21,0,0
Australia,China,1.5662594105977374,Rnk 1 / 211,15,0.6480158847106181,Rnk 12 / 209,6,7.263652969869891,0.06250234147787279,1,14,0,1
Australia,Germany,-0.4835962819016109,Rnk 15 / 211,2,-0.3261831060352475,Rnk 29 / 220,49,-0.41969615695764656,-0.2864121250857547,1,3,0,0
Australia,France,-0.5038878241031343,Rnk 22 / 211,3,-0.45900047317249154,Rnk 31 / 217,25,-0.4384643845659655,-0.42950352827230154,1,2,0,0
Australia,Italy,-0.5157962948294829,Rnk 31 / 211,3,-0.43665928024354156,Rnk 24 / 213,25,-0.46488520562490215,-0.4434844215318197,1,1,0,0
Australia,Canada,-0.48892537379292006,Rnk 19 / 211,37,-0.4915899197385746,Rnk 15 / 217,52,-0.4268401919827486,-0.45260239539672287,1,1,0,0
Australia,South Korea,-0.17184440626002415,Rnk 3 / 211,15,-0.3936166149675828,Rnk 17 / 218,2,0.053021008093173005,-0.25845033856671834,1,1,0,0
Australia,Russia,-0.5123938746219547,Rnk 26 / 211,21,-0.5211663797353405,Rnk 89 / 187,0,-0.4228443757822678,-0.46298472830422593,1,1,0,0
Australia,Brazil,-0.5130907558692798,Rnk 28 / 211,16,-0.5141565742475415,Rnk 51 / 223,3,-0.4328944589531741,-0.45421931609543237,1,1,0,0
Australia,Spain,-0.5158987773658542,Rnk 32 / 211,54,-0.48892537379292,Rnk 31 / 218,24,-0.4651031592358375,-0.4327859988636667,1,1,0,0
Australia,Indonesia,-0.44485788315324803,Rnk 13 / 211,12,-0.46166501911814617,Rnk 14 / 213,3,-0.41691119415125083,-0.42123656530145603,1,1,0,0
Australia,India,-0.2927737991781939,Rnk 5 / 211,3,-0.44772739417164525,Rnk 23 / 218,40,0.6305980770717614,-0.3553440075044225,1,2,0,0
Spain,Japan,-0.4649444602820288,Rnk 15 / 218,30,-0.47293809811899246,Rnk 30 / 213,2,-0.4123099512537275,-0.35424985064063413,1,5,0,0
Spain,United states,-0.23128427735539572,Rnk 6 / 218,40,-0.24358218171995533,Rnk 20 / 218,25,-0.38361272581391087,-0.23899866098825825,1,21,0,0
Spain,China,-0.3286426869081595,Rnk 8 / 218,23,0.0966598390328612,Rnk 26 / 209,30,-0.12255273404916521,-0.23170428189633574,1,14,0,1
Spain,Germany,0.17249691594764563,Rnk 2 / 218,2,0.32007176832236117,Rnk 12 / 220,2,0.3811622778902327,-0.027461667322505028,1,3,0,0
Spain,France,0.451249414877664,Rnk 1 / 218,2,0.170447265220219,Rnk 5 / 217,19,0.4211204398950407,-0.24264585053421953,1,2,0,0
Spain,Italy,-0.05706396552413423,Rnk 4 / 218,2,-0.07346117134354707,Rnk 6 / 213,19,-0.09228139919703793,-0.3447671578211349,1,1,0,0
Spain,Canada,-0.479906910592243,Rnk 25 / 218,25,-0.5030679638121636,Rnk 23 / 217,15,-0.4413704327117697,-0.44931992480535776,1,1,0,0
Spain,South Korea,-0.4862608278472655,Rnk 29 / 218,30,-0.4737579584099631,Rnk 32 / 218,2,-0.4494831504521398,-0.3841568049175165,1,1,0,0
Spain,Russia,-0.4770373995738458,Rnk 20 / 218,22,-0.4760125742101324,Rnk 28 / 187,40,-0.458806721586595,-0.33990423842651984,1,1,0,0
Spain,Brazil,-0.47047851724608064,Rnk 18 / 218,40,-0.4405536166256521,Rnk 8 / 223,7,-0.43301554429258254,-0.3411199682751736,1,1,0,0
Spain,Australia,-0.48892537379292006,Rnk 31 / 218,24,-0.5158987773658541,Rnk 32 / 211,54,-0.4402806646570931,-0.45770846076106864,1,1,0,0
Spain,Indonesia,-0.5154683507130946,Rnk 62 / 218,26,-0.4870806881382361,Rnk 19 / 213,35,-0.47098790673109103,-0.3625168136114797,1,1,0,0
Spain,India,-0.4956892211934279,Rnk 37 / 218,20,-0.45633592722683697,Rnk 28 / 218,45,-0.4601386603200886,-0.44834734092643475,1,2,0,0
Indonesia,Japan,-0.22923462662796912,Rnk 3 / 213,3,-0.33499660416318194,Rnk 16 / 213,19,-0.24969234042809976,-0.3735799552342288,1,5,0,0
Indonesia,United states,-0.12265278880178562,Rnk 2 / 213,8,-0.3688158411657209,Rnk 30 / 218,28,-0.35140402553124744,-0.3585049051109223,1,21,0,0
Indonesia,China,0.14380180576367313,Rnk 1 / 213,10,0.31187316541265475,Rnk 19 / 209,47,0.07723807597487482,-0.22927282219902823,1,14,0,1
Indonesia,Germany,-0.45715578751780767,Rnk 12 / 213,17,-0.4723232029007645,Rnk 50 / 220,18,-0.4471825290033781,-0.4558483940926284,1,3,0,0
Indonesia,France,-0.5024530685939357,Rnk 31 / 213,11,-0.4971239767026264,Rnk 46 / 217,26,-0.4602597456594971,-0.44482172436533884,1,2,0,0
Indonesia,Italy,-0.481136701028699,Rnk 18 / 213,51,-0.49917362743005306,Rnk 54 / 213,26,-0.39027241948137886,-0.4534534062907805,1,1,0,0
Indonesia,Canada,-0.5012232781574797,Rnk 29 / 213,41,-0.4958941862661705,Rnk 18 / 217,52,-0.4579591242107354,-0.4032437635413805,1,1,0,0
Indonesia,South Korea,-0.3766045139299421,Rnk 7 / 213,3,-0.3907471039491856,Rnk 15 / 218,40,-0.3332412246199711,-0.42597791171120564,1,1,0,0
Indonesia,Russia,-0.49896866235731047,Rnk 24 / 213,42,-0.5106311749963678,Rnk 59 / 187,26,-0.4149738287207147,-0.4489552058507616,1,1,0,0
Indonesia,Brazil,-0.5008133480119944,Rnk 28 / 213,4,-0.47457781870093374,Rnk 19 / 223,43,-0.4549319907255227,-0.3696896197185368,1,1,0,0
Indonesia,Australia,-0.4616650191181462,Rnk 14 / 213,3,-0.444857883153248,Rnk 13 / 211,12,-0.42877755741328477,-0.4093224127846492,1,1,0,0
Indonesia,Spain,-0.48708068813823613,Rnk 19 / 213,35,-0.5154683507130945,Rnk 62 / 218,26,-0.37029333847897483,-0.4636169078255259,1,1,0,0
Indonesia,India,-0.2989227513604737,Rnk 5 / 213,3,-0.4311252232794897,Rnk 18 / 218,45,-0.013575928581507008,-0.3724857983704405,1,2,0,0
India,Japan,-0.43501955966160033,Rnk 19 / 218,40,-0.3329469534357553,Rnk 15 / 213,39,-0.418364218224153,-0.36981119270340224,2,5,0,0
India,United states,0.49429208015362275,Rnk 1 / 218,25,0.020822762118076786,Rnk 11 / 218,7,0.4053793457719345,0.034540554958836435,2,21,0,0
India,China,-0.14519894680347828,Rnk 2 / 218,15,0.7914914356304804,Rnk 9 / 209,6,-0.05837750416265538,0.010225957985761354,2,14,0,1
